ua
"Mozilla/5.0 (Linux; Android 8.1.0; vivo Y85 Build/OPM1.171019.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.72 MBrowser/6.2 TBS/046291 Mobile Safari/537.36 os/android model/vivo Y85 build/8200200 osVer/8.1.0 sdkInt/27 network/2 BiliApp/8200200 mobi_app/android channel/vivo Buvid/XU07D2F0127A68EC176C76C26BEDA15B6C7D1 sessionID/6b73b58a innerVer/8200210 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/2 sh/28"
"Mozilla/5.0 (Linux; Android 14; 2211133C Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/118.0.0.0 Mobile Safari/537.36 os/android model/2211133C build/8160400 osVer/14 sdkInt/34 network/1 BiliApp/8160400 mobi_app/android channel/xiaomi Buvid/XXB236DB0F60BF2ED2408C680A23FF5405F42 sessionID/0b0addf2 innerVer/8160410 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/1 sh/38"
Dalvik/2.1.0 (Linux; U; Android 8.0.0; CMR-W09 Build/HUAWEICMR-W09)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A146P Build/TP1A.220624.014)
"Mozilla/5.0 (Linux; Android 12; JEF-AN00 Build/HUAWEIJEF-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20241101 MMWEBID/617 MicroMessenger/8.0.54.2760(0x28003636) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64"
"Mozilla/5.0 (Linux; U; Android 12; zh-cn; BRQ-AN00 Build/HUAWEIBRQ-AN00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.86 MQQBrowser/15.7 Mobile Safari/537.36 COVC/047311"
"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x1800362c) NetType/WIFI Language/zh_CN miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3868.400 QQBrowser/10.8.4394.400"
"Mozilla/5.0 (Linux; Android 14; 2311DRK48C Build/UP1A.230905.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.193 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; Android 10; GLK-AL00 Build/HUAWEIGLK-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/13.73 BDOS/1.0 (HarmonyOS 2.2.0) SP-engine/3.15.0 baiduboxapp/13.74.0.10 (Baidu; P1 10) NABar/1.0"
"Mozilla/5.0 (Linux; Android 15; V2339FA; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.118 Mobile Safari/537.36 VivoBrowser/21.6.11.0"
